0061 	0041 	LATIN SMALL LETTER A 	LATIN CAPITAL LETTER A
0062 	0042 	LATIN SMALL LETTER B 	LATIN CAPITAL LETTER B
0063 	0043 	LATIN SMALL LETTER C 	LATIN CAPITAL LETTER C
0064 	0044 	LATIN SMALL LETTER D 	LATIN CAPITAL LETTER D
0065 	0045 	LATIN SMALL LETTER E 	LATIN CAPITAL LETTER E
0066 	0046 	LATIN SMALL LETTER F 	LATIN CAPITAL LETTER F
0067 	0047 	LATIN SMALL LETTER G 	LATIN CAPITAL LETTER G
0068 	0048 	LATIN SMALL LETTER H 	LATIN CAPITAL LETTER H
0069 	0049 	LATIN SMALL LETTER I 	LATIN CAPITAL LETTER I
006A 	004A 	LATIN SMALL LETTER J 	LATIN CAPITAL LETTER J
006B 	004B 	LATIN SMALL LETTER K 	LATIN CAPITAL LETTER K
006C 	004C 	LATIN SMALL LETTER L 	LATIN CAPITAL LETTER L
006D 	004D 	LATIN SMALL LETTER M 	LATIN CAPITAL LETTER M
006E 	004E 	LATIN SMALL LETTER N 	LATIN CAPITAL LETTER N
006F 	004F 	LATIN SMALL LETTER O 	LATIN CAPITAL LETTER O
0070 	0050 	LATIN SMALL LETTER P 	LATIN CAPITAL LETTER P
0071 	0051 	LATIN SMALL LETTER Q 	LATIN CAPITAL LETTER Q
0072 	0052 	LATIN SMALL LETTER R 	LATIN CAPITAL LETTER R
0073 	0053 	LATIN SMALL LETTER S 	LATIN CAPITAL LETTER S
0074 	0054 	LATIN SMALL LETTER T 	LATIN CAPITAL LETTER T
0075 	0055 	LATIN SMALL LETTER U 	LATIN CAPITAL LETTER U
0076 	0056 	LATIN SMALL LETTER V 	LATIN CAPITAL LETTER V
0077 	0057 	LATIN SMALL LETTER W 	LATIN CAPITAL LETTER W
0078 	0058 	LATIN SMALL LETTER X 	LATIN CAPITAL LETTER X
0079 	0059 	LATIN SMALL LETTER Y 	LATIN CAPITAL LETTER Y
007A 	005A 	LATIN SMALL LETTER Z 	LATIN CAPITAL LETTER Z
00E0 	00C0 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A GRAVE
00E1 	00C1 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A ACUTE
00E2 	00C2 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A CIRCUMFLEX
00E3 	00C3 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A TILDE
00E4 	00C4 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A DIAERESIS
00E5 	00C5 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A RING
00E6 	00C6 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER A E
00E7 	00C7 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER C CEDILLA
00E8 	00C8 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER E GRAVE
00E9 	00C9 	LATIN SMALL LETTER A GRAVE 	LATIN CAPITAL LETTER E ACUTE
00EA 	00CA 	LATIN SMALL LETTER E CIRCUMFLEX 	LATIN CAPITAL LETTER E CIRCUMFLEX
00EB 	00CB 	LATIN SMALL LETTER E DIAERESIS 	LATIN CAPITAL LETTER E DIAERESIS
00EC 	00CC 	LATIN SMALL LETTER I GRAVE 	LATIN CAPITAL LETTER I GRAVE
00ED 	00CD 	LATIN SMALL LETTER I ACUTE 	LATIN CAPITAL LETTER I ACUTE
00EE 	00CE 	LATIN SMALL LETTER I CIRCUMFLEX 	LATIN CAPITAL LETTER I CIRCUMFLEX
00EF 	00CF 	LATIN SMALL LETTER I DIAERESIS 	LATIN CAPITAL LETTER I DIAERESIS
00F0 	00D0 	LATIN SMALL LETTER ETH 	LATIN CAPITAL LETTER ETH
